DICTIONARY_PID,LABEL_PID,ISO_CODE,LABEL,INSERT_TSTMP,UPDATE_TSTMP,TABLE_ID,LABEL_TYPE
1,1,"ENUS","Male","2019-02-2411:35:20.693","2019-02-2411:35:20.693",6,"SEX"
2,1,"DADK","Mand","2019-02-2411:35:20.696","2019-02-2411:36:45.594",6,"SEX"
3,1,"ENAU","Male","2019-02-2411:35:20.698","2019-02-2415:02:47.849",6,"SEX"
4,1,"NBNO","Mann","2019-02-2411:35:20.7","2019-02-2415:02:50.141",6,"SEX"
5,1,"ENUK","Male","2019-02-2411:35:20.702","2019-02-2415:02:51.109",6,"SEX"
6,2,"ENUS","Male","2019-02-2411:37:14.074","2019-02-2813:03:40.872",6,"SEX"
7,2,"DADK","Kvinde","2019-02-2411:37:14.076","2019-02-2411:37:14.076",6,"SEX"
8,2,"ENAU","Female","2019-02-2411:37:14.078","2019-02-2414:57:10.967",6,"SEX"
9,2,"NBNO","","2019-02-2411:37:14.079","2019-02-2411:37:14.079",6,"SEX"
10,2,"ENUK","","2019-02-2411:37:14.081","2019-02-2411:37:14.081",6,"SEX"
11,3,"ENUS","Birth","2019-02-2411:37:38.283","2019-02-2411:37:38.283",6,"EVENT"
12,3,"DADK","Fødsel","2019-02-2411:37:38.285","2019-02-2411:37:47.207",6,"EVENT"
13,3,"ENAU","","2019-02-2411:37:38.288","2019-02-2411:37:38.288",6,"EVENT"
14,3,"NBNO","","2019-02-2411:37:38.29","2019-02-2411:37:38.29",6,"EVENT"
15,3,"ENUK","","2019-02-2411:37:38.292","2019-02-2411:37:38.292",6,"EVENT"
16,4,"ENUS","Birth","2019-02-2509:40:45.177","2019-02-2509:40:45.177",6,"EVENT"
17,4,"DADK","","2019-02-2509:40:45.18","2019-02-2509:40:45.18",6,"EVENT"
18,4,"ENAU","","2019-02-2509:40:45.183","2019-02-2509:40:45.183",6,"EVENT"
19,4,"NBNO","","2019-02-2509:40:45.186","2019-02-2509:40:45.186",6,"EVENT"
20,4,"ENUK","","2019-02-2509:40:45.189","2019-02-2509:40:45.189",6,"EVENT"
21,5,"ENUS","USnamestyle","2019-02-2708:53:09.68","2019-03-0114:24:56.837",6,"PERSONNAME"
22,6,"ENUS","Prefix","2019-02-2708:53:09.685","2019-02-2813:11:42.108",6,"PERSONNAMEMAP"
23,7,"ENUS","Firstname","2019-02-2708:53:09.694","2019-02-2708:53:09.694",6,"PERSONNAMEMAP"
24,8,"ENUS","Middlename","2019-02-2708:53:09.699","2019-02-2708:53:09.699",6,"PERSONNAMEMAP"
25,9,"ENUS","Lastname","2019-02-2708:53:09.705","2019-02-2708:53:09.705",6,"PERSONNAMEMAP"
26,10,"ENUS","Suffix","2019-02-2708:53:09.713","2019-02-2708:53:09.713",6,"PERSONNAMEMAP"
27,11,"DADK","Danskpersonnavnestil","2019-02-2813:17:32.497","2019-02-2813:17:32.497",6,"PERSONNAME"
28,12,"DADK","Titel","2019-02-2813:17:32.504","2019-02-2813:17:32.504",6,"PERSONNAMEMAP"
29,13,"DADK","Fornavn","2019-02-2813:17:32.512","2019-02-2813:17:32.512",6,"PERSONNAMEMAP"
30,14,"DADK","Mellemnavn","2019-02-2813:17:32.519","2019-02-2813:17:32.519",6,"PERSONNAMEMAP"
31,15,"DADK","Efternavn","2019-02-2813:17:32.525","2019-02-2813:17:32.525",6,"PERSONNAMEMAP"
32,16,"DADK","Suffix","2019-02-2813:17:32.532","2019-02-2813:17:32.532",6,"PERSONNAMEMAP"
33,17,"ENUS","Marriage","2019-02-2816:10:52.124","2019-02-2816:10:52.124",6,"EVENT"
34,17,"DADK","Ægteskab","2019-02-2816:10:52.13","2019-02-2816:10:52.13",6,"EVENT"
35,17,"ENAU","","2019-02-2816:10:52.138","2019-02-2816:10:52.138",6,"EVENT";
36,17,"NBNO","","2019-02-2816:10:52.143","2019-02-2816:10:52.143",6,"EVENT"
37,17,"ENUK","","2019-02-2816:10:52.148","2019-02-2816:10:52.148",6,"EVENT"
38,18,"ENUS","Death","2019-02-2816:13:32.571","2019-02-2816:13:32.571",6,"EVENT"
39,18,"DADK",STRINGDECODE"D\u00f8d","2019-02-2816:13:32.575","2019-02-2816:13:32.575",6,"EVENT"
40,18,"ENAU","","2019-02-2816:13:32.577","2019-02-2816:13:32.577",6,"EVENT"
41,18,"NBNO","","2019-02-2816:13:32.58","2019-02-2816:13:32.58",6,"EVENT"
42,18,"ENUK","","2019-02-2816:13:32.582","2019-02-2816:13:32.582",6,"EVENT"
43,19,"ENUS","A","2019-03-0114:23:58.735","2019-03-0114:23:58.735",6,"PERSONNAME"
44,20,"ENUS","X","2019-03-0114:23:58.742","2019-03-0114:23:58.742",6,"PERSONNAMEMAP"
45,21,"ENUS","A","2019-03-0214:55:09.252","2019-03-0214:55:09.252",6,"LOCATIONNAME"
46,22,"ENUS","B","2019-03-0214:55:09.256","2019-03-0215:36:14.417",6,"LOCATIONNAMEMAP"
47,23,"ENUS","USLocationNameStyle","2019-03-0216:06:56.821","2019-03-0216:06:56.821",6,"LOCATIONNAME"
48,24,"ENUS","Address","2019-03-0216:06:56.827","2019-03-0216:06:56.827",6,"LOCATIONNAMEMAP"
49,25,"ENUS","City","2019-03-0216:06:56.838","2019-03-0216:06:56.838",6,"LOCATIONNAMEMAP"
50,26,"ENUS","County","2019-03-0216:06:56.847","2019-03-0216:06:56.847",6,"LOCATIONNAMEMAP"
51,27,"ENUS","State","2019-03-0216:06:56.854","2019-03-0216:06:56.854",6,"LOCATIONNAMEMAP"
52,28,"ENUS","Country","2019-03-0216:06:56.861","2019-03-0216:06:56.861",6,"LOCATIONNAMEMAP"
53,29,"DADK","DanskeNavnestil","2019-03-1318:49:37.35","2019-03-1318:49:37.35",6,"LOCATIONNAME"
54,30,"DADK","Sted","2019-03-1318:49:37.353","2019-03-1318:49:37.353",6,"LOCATIONNAMEMAP"
55,31,"DADK","Adresse","2019-03-1318:49:37.359","2019-03-1318:49:37.359",6,"LOCATIONNAMEMAP"
56,32,"DADK","By","2019-03-1318:49:37.363","2019-03-1318:49:37.363",6,"LOCATIONNAMEMAP"
57,33,"DADK","Sogn","2019-03-1318:49:37.366","2019-03-1318:49:37.366",6,"LOCATIONNAMEMAP"
58,34,"DADK","Herred","2019-03-1318:49:37.37","2019-03-1318:49:37.37",6,"LOCATIONNAMEMAP"
59,35,"DADK","Amt","2019-03-1318:49:37.373","2019-03-1318:49:37.373",6,"LOCATIONNAMEMAP"
60,36,"ENUS","Birth","2019-03-2013:36:27.783","2019-03-2013:36:27.783",6,"EVENT"
61,36,"DADK","Fødsel","2019-03-2013:36:27.787","2019-03-2013:36:27.787",6,"EVENT"
62,36,"ENAU","","2019-03-2013:36:27.789","2019-03-2013:36:27.789",6,"EVENT"
63,36,"NBNO","","2019-03-2013:36:27.792","2019-03-2013:36:27.792",6,"EVENT"
64,36,"ENUK","","2019-03-2013:36:27.795","2019-03-2013:36:27.795",6,"EVENT"
65,37,"ENUS","Child","2019-03-2219:21:25.41","2019-03-2219:21:25.41",6,"EVENTROLE"
66,37,"DADK","Barn","2019-03-2219:21:25.413","2019-03-2219:21:25.413",6,"EVENTROLE"
67,37,"ENAU","","2019-03-2219:21:25.415","2019-03-2219:21:25.415",6,"EVENTROLE"
68,37,"NBNO","","2019-03-2219:21:25.417","2019-03-2219:21:25.417",6,"EVENTROLE"
69,37,"ENUK","","2019-03-2219:21:25.418","2019-03-2219:21:25.418",6,"EVENTROLE";
70,38,"ENUS","Child","2019-03-2311:51:51.923","2019-03-2311:52:07.145",6,"EVENTROLE"
71,38,"DADK","Barn","2019-03-2311:51:51.927","2019-03-2311:52:07.149",6,"EVENTROLE"
72,38,"ENAU","","2019-03-2311:51:51.929","2019-03-2311:51:51.929",6,"EVENTROLE"
73,38,"NBNO","","2019-03-2311:51:51.931","2019-03-2311:51:51.931",6,"EVENTROLE"
74,38,"ENUK","","2019-03-2311:51:51.933","2019-03-2311:51:51.933",6,"EVENTROLE"
75,39,"ENUS","Father","2019-03-2311:52:59.883","2019-03-2311:52:59.883",6,"EVENTROLE"
76,39,"DADK","Fader","2019-03-2311:52:59.885","2019-03-2311:52:59.885",6,"EVENTROLE"
77,39,"ENAU","","2019-03-2311:52:59.887","2019-03-2311:52:59.887",6,"EVENTROLE"
78,39,"NBNO","","2019-03-2311:52:59.889","2019-03-2311:52:59.889",6,"EVENTROLE"
79,39,"ENUK","","2019-03-2311:52:59.891","2019-03-2311:52:59.891",6,"EVENTROLE"
